fips,PST045212,PST045211,PST040210,PST120212,PST120211,POP010210,AGE135211,AGE295211,AGE775211,SEX255211,RHI125211,RHI225211,RHI325211,RHI425211,RHI525211,RHI625211,RHI725211,RHI825211,POP715211,POP645211,POP815211,EDU635211,EDU685211,VET605211,LFE305211,HSG010211,HSG445211,HSG096211,HSG495211,HSD410211,HSD310211,INC910211,INC110211,PVY020211,BZA010210,BZA110210,BZA115210,NES010210,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030211,LND110210,POP060210
00000,313914040,311587816,308747508,1.7,0.9,308745538,6.5,23.7,13.3,50.8,78.1,13.1,1.2,5.0,0.2,2.3,16.7,63.4,84.6,12.8,20.3,85.4,28.2,22215303,25.4,132312404,66.1,25.9,186200,114761359,2.60,27915,52762,14.3,7396628,111970095,-1.8,22110628,27092908,7.1,0.9,5.7,0.1,8.3,28.8,5338306501,4174286516,3917663456,12990,613795732,624061,3531905.43,87.4
01000,4822023,4803689,4779745,0.9,0.5,4779736,6.3,23.5,14.0,51.5,70.1,26.5,0.7,1.2,0.1,1.4,4.0,66.8,84.5,3.4,5.0,81.9,22.0,403982,24.0,2182088,70.7,15.5,120800,1831269,2.53,23483,42934,17.6,99251,1568111,-5.1,320605,382350,14.8,0.8,1.8,0.1,1.2,28.1,112858843,52252752,57344851,12364,6426342,11667,50645.33,94.4
01001,0,55267,54571,0.0,1.3,54571,6.5,26.0,12.3,51.2,78.6,18.5,0.5,0.9,0.1,1.4,2.6,76.4,84.8,2.0,3.8,86.5,21.6,5942,25.3,22460,77.7,7.2,137500,19998,2.68,25035,53899,10.9,871,10167,11.5,3072,4067,15.2,0.0,1.3,0.0,0.7,31.7,0,0,598175,12003,88157,106,594.44,91.8
01003,0,186717,182265,0.0,2.4,182265,6.0,22.8,17.1,51.2,87.3,9.7,0.7,0.8,0.1,1.4,4.5,83.2,83.3,3.7,5.4,87.9,27.2,20254,25.5,104701,76.2,23.3,175700,70757,2.50,27217,51321,12.5,4665,51171,15.0,16015,19035,2.7,0.4,1.0,0.0,1.3,27.3,1410273,0,2966489,17166,436955,756,1589.78,114.6
01005,0,27119,27457,0.0,-1.2,27457,6.2,21.8,14.6,46.5,51.0,46.9,0.6,0.4,0.2,0.8,5.3,46.7,82.1,3.0,5.0,72.4,13.9,2167,23.4,11692,66.4,10.3,91600,9589,2.57,15899,34041,24.7,516,7604,-30.5,1431,1667,0.0,0.0,0.0,0.0,0.0,27.0,0,0,188337,6334,0,55,884.88,31.0
01007,0,22766,22919,0.0,-0.7,22915,5.6,22.1,13.3,46.1,76.2,22.3,0.3,0.1,0.1,0.9,2.0,74.5,90.7,1.3,2.0,75.9,9.8,1824,27.8,9014,83.0,6.3,87500,7225,3.05,18462,40506,15.7,293,2926,-14.0,1216,1385,14.9,0.0,0.0,0.0,0.0,0.0,0,0,124707,5804,10757,11,622.58,36.8
01009,0,57677,57322,0.0,0.6,57322,6.2,24.4,15.0,50.6,96.1,1.9,0.6,0.2,0.1,1.1,8.6,88.0,86.6,4.5,6.8,73.2,11.3,4019,33.5,24144,79.9,4.9,111500,20954,2.70,21185,45404,13.7,701,6433,-18.2,3560,4458,0.0,0.0,0.0,0.0,0.0,23.2,341544,0,319700,5622,20941,2,644.78,88.9
01011,0,10542,10915,0.0,-3.4,10914,7.0,21.9,13.6,45.7,27.5,69.5,0.9,0.2,0.8,1.0,7.7,22.9,84.4,4.5,5.1,72.0,14.4,830,28.3,4447,79.6,10.1,68000,3760,2.78,20678,31955,26.0,120,2048,-13.1,412,417,0.0,0.0,0.0,0.0,0.0,38.8,0,0,43810,3995,3670,0,622.81,17.5
01013,0,20650,20947,0.0,-1.4,20947,6.5,23.6,17.1,53.1,54.4,43.5,0.4,0.9,0.1,0.8,1.1,53.8,93.0,1.0,1.6,74.7,12.4,1629,23.9,9899,71.1,13.8,74300,8090,2.55,17091,31273,25.7,423,5534,4.7,1198,1769,0.0,0.0,3.3,0.0,0.0,0.0,399132,56712,229277,11326,28427,11,776.83,27.0
01015,0,117797,118572,0.0,-0.7,118572,6.1,22.8,14.6,51.9,76.2,20.9,0.5,0.8,0.1,1.6,3.4,73.3,83.5,2.3,4.5,77.9,15.8,11564,22.2,53347,70.1,13.8,99600,45923,2.50,20903,39467,20.4,2427,36951,-9.0,6356,8713,7.2,0.0,1.6,0.0,0.5,24.7,2679991,0,1542981,13678,186533,83,605.87,195.7
01017,0,33939,34215,0.0,-0.8,34215,5.7,22.3,17.0,52.2,59.3,38.8,0.2,0.6,0.0,1.1,1.7,58.1,84.8,1.1,1.8,74.2,10.5,2923,24.1,16969,71.4,10.6,82400,13562,2.50,17705,32186,21.0,573,6138,-46.7,2232,1981,0.0,0.0,0.0,0.0,0.0,29.3,667283,0,264650,7620,23237,2,596.53,57.4
01019,0,26057,25989,0.0,0.3,25989,5.1,21.1,18.4,50.4,92.9,5.0,0.6,0.2,0.0,1.3,1.4,91.7,89.3,0.8,1.3,73.5,11.3,2254,25.8,16467,75.8,4.5,96200,11508,2.20,21673,37833,20.8,358,3466,1.5,1644,2180,0.0,0.0,0.0,0.0,0.0,14.5,307439,62293,186321,7613,13948,49,553.70,46.9
01021,0,43895,43642,0.0,0.6,43643,6.8,24.8,14.1,50.7,87.7,10.3,0.5,0.3,0.2,1.0,7.8,80.8,88.3,4.4,6.5,74.8,12.4,3128,32.3,19339,75.3,4.0,104300,16277,2.65,20826,40418,17.4,735,6756,-0.9,2744,0,0.0,0.0,0.0,0.0,0.0,0.0,0,155139,359910,8496,34073,17,692.85,63.0
01023,0,13609,13858,0.0,-1.8,13859,5.1,22.1,19.0,52.3,55.8,43.4,0.1,0.2,0.0,0.5,0.6,55.4,92.8,0.4,1.3,73.6,10.5,817,34.8,7166,84.8,3.8,61400,5165,2.67,18201,32188,20.5,269,2804,-24.0,800,1102,26.2,0.0,0.0,0.0,0.0,44.1,0,52904,84633,5969,11345,0,913.50,15.2
01025,0,25695,25840,0.0,-0.6,25833,5.6,24.2,16.6,52.9,54.3,44.2,0.4,0.4,0.0,0.7,1.2,53.5,93.0,0.5,1.5,78.1,13.2,1754,25.5,12574,77.1,6.7,79900,9114,2.83,18471,29668,27.2,624,6536,-16.7,1809,2374,0.0,0.0,0.0,0.0,0.0,28.6,571454,85803,344311,13034,23596,4,1238.47,20.9
01027,0,13862,13932,0.0,-0.5,13932,5.6,22.3,18.6,51.1,82.6,15.2,0.4,0.2,0.0,1.6,2.9,80.0,87.6,2.2,3.0,72.8,9.1,1118,27.4,6768,76.4,8.1,83400,5837,2.35,18284,35410,18.7,194,3137,-31.1,780,1005,0.0,0.0,0.0,0.0,0.0,0.0,330878,0,70558,5123,4352,0,603.96,23.1
01029,0,14835,14972,0.0,-0.9,14972,6.0,23.4,16.2,50.4,94.4,4.0,0.4,0.2,0.1,1.0,2.4,92.2,88.0,1.2,2.1,73.0,9.4,1099,29.4,6745,78.5,5.6,88200,5521,2.67,18881,38785,16.8,171,1934,-14.2,952,1280,0.0,0.0,0.0,0.0,0.0,17.7,0,5888,133407,9080,4134,1,560.10,26.7
01031,0,50526,49948,0.0,1.2,49948,6.7,24.1,14.7,50.7,76.9,17.5,1.5,1.3,0.5,2.3,6.4,72.0,83.0,4.7,6.7,80.2,21.3,5936,21.0,22473,70.6,13.4,121800,18799,2.58,22953,42065,17.7,1022,12607,-4.7,2603,4032,6.0,0.0,1.3,0.0,0.7,29.3,613758,131594,639623,13665,50080,216,678.97,73.6
01033,0,54512,54428,0.0,0.2,54428,5.6,21.9,17.6,51.9,81.2,16.3,0.5,0.5,0.0,1.4,2.2,79.3,86.6,1.7,2.5,80.8,17.4,4429,22.7,25723,72.7,12.9,97300,22322,2.41,21693,40247,16.5,1284,18700,-3.5,3846,4757,0.0,0.0,0.0,0.0,0.0,22.8,2083166,351388,821284,15040,61935,127,592.62,91.8
01035,0,13105,13228,0.0,-0.9,13228,5.8,22.4,18.6,51.5,51.6,46.7,0.4,0.2,0.0,1.1,1.5,50.8,96.6,0.2,1.2,72.7,11.6,1143,23.9,7035,79.4,6.7,76700,4712,2.80,16673,27977,28.0,214,2627,-30.3,740,980,0.0,0.0,0.0,0.0,0.0,23.0,183544,76736,71232,5430,8667,0,850.16,15.6
01037,0,10713,11537,0.0,-7.1,11539,4.9,21.0,13.9,50.1,66.9,31.1,0.6,0.2,0.1,1.1,2.2,65.6,87.0,1.9,2.7,76.2,9.5,1004,29.1,6490,84.6,2.3,79200,4667,2.34,19966,37191,18.8,94,1009,-29.4,396,545,0.0,0.0,0.0,0.0,0.0,0.0,89585,31647,20531,1904,575,0,650.93,17.7
01039,0,38058,37765,0.0,0.8,37765,5.9,22.4,18.6,51.6,84.7,12.9,0.6,0.5,0.0,1.3,1.4,83.6,87.7,1.3,2.4,76.6,12.9,3716,20.4,18774,74.0,5.6,86100,14742,2.53,20246,33544,21.6,864,10480,-4.0,2317,2957,0.0,0.0,0.0,0.0,0.0,0.0,561168,338692,424873,11544,30271,17,1030.46,36.6
